name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
glycine,Gly,C2H5NO2,aq,Kit14,DLH06.3,2/6/2019,cal,-88620,-122830,37.89,9.3,43.2,11.3,0.71,3.99,-3.04,28.5,-8.4,0.23,0,3,0,-1.0000 glycine 0.5000 O2(g) 1.0000 NH4+ 1.0000 acetic-acid -1.0000 H2O -1.0000 H+,aux,C+3 C- 5H+ N-3 2O-2,organic_aq,
isoleucine,Ile,C6H13NO2,aq,AH97b,DLH06.1,8/25/2006,cal,-81990,-151600,49.7,91.6,105.8,24.49,6.55,18.16,-7.76,99.7,-3.6,0.09,0,3,0,-1.0000 isoleucine -2.0000 H+ -2.0000 NO3- 1.0000 O2(g) 3.0000 glycine,,,organic_aq,
leucine,Leu,C6H13NO2,aq,AH97b,DLH06.1,8/25/2006,cal,-84200,-153600,50.41,95.2,107.8,24.68,7.51,19.93,-8.37,102.7,-3.3,0.09,0,3,0,-1.0000 leucine -2.0000 H+ -2.0000 NO3- 1.0000 O2(g) 3.0000 glycine,,,organic_aq,
methionine,Met,C5H11NO2S,aq,LD12.2,DLH06.4,7/10/2015,cal,-76959.8,-135210.3,62.81,70.7,105.4,24.95,6.9,13.59,-7.77,85.3,-6.6,0.13,0,3,0,-1.0000 methionine -1.5000 NO3- -1.0000 H2O -0.7500 O2(g) 0.5000 H+ 1.0000 SO4-2 2.5000 glycine,,,organic_aq,
phenylalanine,Phe,C9H11NO2,aq,AH97b,DLH06.1,8/25/2006,cal,-49430,-108900,56.6,93.8,122.1,28.27,8.8,19.34,-9.38,108.1,-6.5,0.12,0,3,0,-1.0000 phenylalanine -4.0000 H2O -3.5000 H+ -3.5000 NO3- 3.7500 O2(g) 4.5000 glycine,,,organic_aq,
serine,Ser,C3H7NO3,aq,AH97b,DLH06.1,8/25/2006,cal,-123930,-172420,47.24,27.8,60.6,15.69,0.73,3.87,-3.49,48.5,-9.4,0.18,0,3,0,-1.0000 serine -0.5000 H+ -0.5000 NO3- 0.7500 O2(g) 1.5000 glycine,,,organic_aq,
threonine,Thr,C4H9NO3,aq,AH97b,DLH06.1,8/25/2006,cal,-119830,-178940,44.23,50.1,77.6,18.94,2.83,8.87,-4.87,65.5,-7.1,0.11,0,3,0,-1.0000 threonine -1.0000 H+ -1.0000 NO3- 1.0000 O2(g) 2.0000 glycine,,,organic_aq,
tryptophan,Trp,C11H12N2O2,aq,AH97b,DLH06.1,8/25/2006,cal,-26820,-97590,59.96,99.6,143.6,33.91,9.21,14.78,-9.36,116.8,-7.8,0.15,0,3,0,-1.0000 tryptophan -6.0000 H2O -3.5000 H+ -3.5000 NO3- 3.7500 O2(g) 5.5000 glycine,,,organic_aq,
tyrosine,Tyr,C9H11NO3,aq,AH97b,DLH06.1,8/25/2006,cal,-91800,-157740,59.41,80.2,124.5,30.06,8.49,8.36,-8.58,106.2,-12.4,0.09,0,3,0,-1.0000 tyrosine -4.0000 H2O -3.5000 H+ -3.5000 NO3- 4.2500 O2(g) 4.5000 glycine,,,organic_aq,
valine,Val,C5H11NO2,aq,AH97b,DLH06.1,8/25/2006,cal,-85330,-146420,45.68,74,90.9,21.35,4.48,14.58,-6.12,83.8,-4.3,0.12,0,3,0,-1.0000 valine -1.5000 H+ -1.5000 NO3- 0.7500 O2(g) 2.5000 glycine,,,organic_aq,
